sweep,camera,fps,noise_px,radius_noise,dropout,tap_px,physics,i,speed_kmh,length_m,line_m,restitution_true,n_dets,truth,calib_reproj_px,estimator,ok,verdict,verdict_k0,verdict_k0.5,verdict_k1.5,verdict_k2,bounce_observed,y_err_cm,z_err_cm,sigma_y_cm,sigma_z_cm,contact_x_err_cm,contact_y_err_cm,speed_err_kmh,rms_px,restitution
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,160,77.3,2.01,0.226,0.517,53,not_out,3.12,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,23.9095,17.4797,72.6336,32.6257,93.3093,0.6294,37.9441,14.2917,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,161,118.6,3.78,-0.173,0.619,36,out,2.38,anchored,True,out,out,out,out,out,True,0.2263,0.9191,0.6103,5.4935,0.3555,0.2821,17.295,0.857,0.6038
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,161,118.6,3.78,-0.173,0.619,36,out,2.38,parabola,False,no_verdict,no_verdict,no_verdict,no_verdict,no_verdict,,,,,,,,,,
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,162,103.2,8.61,-0.271,0.561,39,not_out,4.21,anchored,True,not_out,not_out,not_out,not_out,not_out,True,4.2144,4.5341,1.826,3.36,3.8399,2.6156,16.0461,1.0945,0.5194
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,162,103.2,8.61,-0.271,0.561,39,not_out,4.21,parabola,True,umpires_call,not_out,umpires_call,umpires_call,umpires_call,False,89.0901,79.8252,589.4383,0.0,3028.0803,31.4417,12.6558,14.6499,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,163,85.5,1.45,0.26,0.492,46,not_out,1.84,anchored,True,not_out,not_out,not_out,not_out,not_out,True,2.9119,3.6649,6.1982,10.9128,1.6901,2.0568,12.3297,1.546,0.5377
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,163,85.5,1.45,0.26,0.492,46,not_out,1.84,parabola,True,umpires_call,not_out,not_out,umpires_call,umpires_call,False,5.3961,7.0504,27.5984,17.1338,22.1678,0.9312,18.6712,9.8886,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,164,112.9,5.36,0.031,0.454,35,not_out,3.27,anchored,True,not_out,not_out,not_out,not_out,not_out,True,0.0937,0.6007,1.5851,4.3986,5.8977,1.3082,16.8252,0.9625,0.4267
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,164,112.9,5.36,0.031,0.454,35,not_out,3.27,parabola,True,not_out,not_out,not_out,umpires_call,umpires_call,False,19.3561,44.2335,5.7569,0.0,225.4362,6.3145,107.7002,11.1386,0.55
noise_px=1.0,striker_ref,60.0,1.0,0.1,0.05,2.0,True,165,80.6,9.11,-0.218,0.401,51,not_out,3.2,anchored,True,not_out,not_out,not_out,not_out,not_out,True,1.3405,10.171,0.6019,0.5873,14.1165,0.1893,8.2109,0.9514,0.3843
